,Team,GP_off,Total_yds_off,Yds_PG_off,Pass_Total_Yds_off,Pass_Yds_PG_off,Rush_Total_Yds_off,Rush_Yds_PG_off,Total_pts_off,pts_PG_off,GP_def,Total_yds_def,Yds_PG_def,Pass_Total_Yds_def,Pass_Yds_PG_def,Rush_Total_Yds_def,Rush_Yds_PG_def,Total_pts_def,pts_PG_def,Win,Loss,Tie,PCT,Home_rec,Away_rec,Div_rec,Conf_rec,PF,PA,DIFF,STRK,pro_ref,Primary,Secondary,Tertiary,Conference,Division
0,Kansas City Chiefs,16,6653,415.8,4854,303.4,1799,112.4,473,29.6,16,5733,358.3,3779,236.2,1954,122.1,362,22.6,14,2,0,0.875,6-2,8-0,4-2,10-2,473,362,111,L1,kan,#E31837,#FFB81C,,AFC,AFC West
1,Buffalo Bills,16,6343,396.4,4620,288.8,1723,107.7,501,31.3,16,5640,352.5,3726,232.9,1914,119.6,375,23.4,13,3,0,0.813,7-1,6-2,6-0,10-2,501,375,126,W6,buf,#00338D,#C60C30,,AFC,AFC East
2,Tennessee Titans,16,6343,396.4,3653,228.3,2690,168.1,491,30.7,16,6372,398.3,4439,277.4,1933,120.8,439,27.4,11,5,0,0.688,5-3,6-2,5-1,8-4,491,439,52,W1,oti,#0C2340,#4B92DB,#8A8D8F,AFC,AFC South
3,Minnesota Vikings,16,6292,393.3,4009,250.6,2283,142.7,430,26.9,16,6292,393.3,4141,258.8,2151,134.4,475,29.7,7,9,0,0.43799999999999994,3-5,4-4,4-2,5-7,430,475,-45,W1,min,#4F2683,#FFC62F,,NFC,NFC North
4,Green Bay Packers,16,6224,389.0,4106,256.6,2118,132.4,509,31.8,16,5344,334.0,3539,221.2,1805,112.8,369,23.1,13,3,0,0.813,7-1,6-2,5-1,10-2,509,369,140,W6,gnb,#203731,#FFB612,,NFC,NFC North
5,Arizona Cardinals,16,6153,384.6,3916,244.8,2237,139.8,410,25.6,16,5631,351.9,3623,226.4,2008,125.5,367,22.9,8,8,0,0.5,4-4,4-4,2-4,6-6,410,367,43,L2,crd,#97233F,#000000,#FFB612,NFC,NFC West
6,Tampa Bay Buccaneers,16,6145,384.1,4626,289.1,1519,94.9,492,30.8,16,5234,327.1,3945,246.6,1289,80.6,355,22.2,11,5,0,0.688,5-3,6-2,4-2,8-4,492,355,137,W4,tam,#D50A0A,#0A0A08,#FF7900,NFC,NFC South
7,Las Vegas Raiders,16,6133,383.3,4217,263.6,1916,119.8,434,27.1,16,6225,389.1,4212,263.3,2013,125.8,478,29.9,8,8,0,0.5,2-6,6-2,4-2,6-6,434,478,-44,W1,rai,#000000,#A5ACAF,,AFC,AFC West
8,Los Angeles Chargers,16,6113,382.1,4329,270.6,1784,111.5,384,24.0,16,5495,343.4,3578,223.6,1917,119.8,426,26.6,7,9,0,0.43799999999999994,4-4,3-5,3-3,6-6,384,426,-42,W4,sdg,#002A5E,#FFC20E,#0080C6,AFC,AFC West
9,Indianapolis Colts,16,6049,378.1,4053,253.3,1996,124.8,451,28.2,16,5314,332.1,3866,241.6,1448,90.5,362,22.6,11,5,0,0.688,6-2,5-3,4-2,7-5,451,362,89,W1,clt,#002C5F,#A2AAAD,,AFC,AFC South
