,Team,GP_off,Total_yds_off,Yds_PG_off,Pass_Total_Yds_off,Pass_Yds_PG_off,Rush_Total_Yds_off,Rush_Yds_PG_off,Total_pts_off,pts_PG_off,GP_def,Total_yds_def,Yds_PG_def,Pass_Total_Yds_def,Pass_Yds_PG_def,Rush_Total_Yds_def,Rush_Yds_PG_def,Total_pts_def,pts_PG_def,Win,Loss,Tie,PCT,Home_rec,Away_rec,Div_rec,Conf_rec,PF,PA,DIFF,STRK,pro_ref,Primary,Secondary,Tertiary,Conference,Division
0,Kansas City Chiefs,13,5579,429.2,4127,317.5,1452,111.7,403,31.0,13,4665,358.8,2996,230.5,1669,128.4,281,21.6,12,1,0,0.9229999999999999,5-1,7-0,4-1,10-1,403,281,122,W8,kan,#E31837,#FFB81C,,AFC,AFC West
1,Green Bay Packers,13,5169,397.6,3559,273.8,1610,123.8,410,31.5,13,4364,335.7,2938,226.0,1426,109.7,323,24.8,10,3,0,0.769,5-1,5-2,4-1,8-2,410,323,87,W3,gnb,#203731,#FFB612,,NFC,NFC North
2,Tennessee Titans,13,5128,394.5,3077,236.7,2051,157.8,390,30.0,13,5037,387.5,3557,273.6,1480,113.8,336,25.8,9,4,0,0.6920000000000001,4-3,5-1,4-1,7-4,390,336,54,W1,oti,#0C2340,#4B92DB,#8A8D8F,AFC,AFC South
3,Arizona Cardinals,13,5063,389.5,3097,238.2,1966,151.2,358,27.5,13,4478,344.5,2924,224.9,1554,119.5,303,23.3,7,6,0,0.5379999999999999,3-3,4-3,2-2,5-4,358,303,55,W1,crd,#97233F,#000000,#FFB612,NFC,NFC West
4,Los Angeles Rams,13,5062,389.4,3386,260.5,1676,128.9,325,25.0,13,3716,285.8,2492,191.7,1224,94.2,246,18.9,9,4,0,0.6920000000000001,5-1,4-3,2-2,8-2,325,246,79,W2,ram,#003594,#FFA300,#FFD100,NFC,NFC West
5,Seattle Seahawks,13,5038,387.5,3464,266.5,1574,121.1,393,30.2,13,5074,390.3,3833,294.8,1241,95.5,324,24.9,9,4,0,0.6920000000000001,6-1,3-3,2-2,6-3,393,324,69,W1,sea,#002244,#69BE28,,NFC,NFC West
6,Minnesota Vikings,13,5013,385.6,3103,238.7,1910,146.9,333,25.6,13,4895,376.5,3336,256.6,1559,119.9,355,27.3,6,7,0,0.462,3-4,3-3,3-1,4-5,333,355,-22,L1,min,#4F2683,#FFC62F,,NFC,NFC North
7,Los Angeles Chargers,14,5381,384.4,3821,272.9,1560,111.4,327,23.4,14,4831,345.1,3098,221.3,1733,123.8,389,27.8,5,9,0,0.35700000000000004,3-4,2-5,1-3,4-6,327,389,-62,W2,sdg,#002A5E,#FFC20E,#0080C6,AFC,AFC West
8,Indianapolis Colts,13,4897,376.7,3428,263.7,1469,113.0,372,28.6,13,4252,327.1,2962,227.8,1290,99.2,300,23.1,9,4,0,0.6920000000000001,4-2,5-2,2-2,5-4,372,300,72,W2,clt,#002C5F,#A2AAAD,,AFC,AFC South
9,Buffalo Bills,13,4880,375.4,3547,272.8,1333,102.5,359,27.6,13,4730,363.8,3171,243.9,1559,119.9,321,24.7,10,3,0,0.769,6-1,4-2,4-0,7-2,359,321,38,W3,buf,#00338D,#C60C30,,AFC,AFC East
10,Las Vegas Raiders,14,5250,375.0,3544,253.1,1706,121.9,377,26.9,14,5396,385.4,3635,259.6,1761,125.8,421,30.1,7,7,0,0.5,2-5,5-2,3-2,5-5,377,421,-44,L2,rai,#000000,#A5ACAF,,AFC,AFC West
11,Cleveland Browns,13,4864,374.2,2833,217.9,2031,156.2,348,26.8,13,4720,363.1,3237,249.0,1483,114.1,368,28.3,9,4,0,0.6920000000000001,5-2,4-2,2-3,6-4,348,368,-20,L1,cle,#311D00,#FF3C00,,AFC,AFC North
